product_id,width_min,width_max,length_min,length_max,retail_price,housing_code
514,276.0,287.88,216.0,227.88,9451.0,H85EX
514,288.0,299.88,216.0,227.88,9679.0,H85EX
514,300.0,311.88,216.0,227.88,9908.0,H85EX
514,312.0,323.88,216.0,227.88,10136.0,H85EX
514,324.0,335.88,216.0,227.88,10364.0,H85EX
514,336.0,347.88,216.0,227.88,10592.0,H85EX
514,348.0,359.88,216.0,227.88,10821.0,H85EX
514,360.0,371.88,216.0,227.88,11049.0,H85EX
514,48.0,59.88,228.0,239.88,5252.0,H85EX
514,60.0,71.88,228.0,239.88,5485.0,H85EX
514,72.0,83.88,228.0,239.88,5718.0,H85EX
514,84.0,95.88,228.0,239.88,5951.0,H85EX
514,96.0,107.88,228.0,239.88,6184.0,H85EX
514,108.0,119.88,228.0,239.88,6417.0,H85EX
514,120.0,131.88,228.0,239.88,6651.0,H85EX
514,132.0,143.88,228.0,239.88,6884.0,H85EX
514,144.0,155.88,228.0,239.88,7054.0,H85EX
514,156.0,167.88,228.0,239.88,7287.0,H85EX
514,168.0,179.88,228.0,239.88,7520.0,H85EX
514,180.0,191.88,228.0,239.88,7753.0,H85EX
514,192.0,203.88,228.0,239.88,7987.0,H85EX
514,204.0,215.88,228.0,239.88,8220.0,H85EX
514,216.0,227.88,228.0,239.88,8453.0,H85EX
514,228.0,239.88,228.0,239.88,8686.0,H85EX
514,240.0,251.88,228.0,239.88,8919.0,H85EX
514,252.0,263.88,228.0,239.88,9152.0,H85EX
514,264.0,275.88,228.0,239.88,9385.0,H85EX
514,276.0,287.88,228.0,239.88,9618.0,H85EX
514,288.0,299.88,228.0,239.88,9851.0,H85EX
514,300.0,311.88,228.0,239.88,10084.0,H85EX
514,312.0,323.88,228.0,239.88,10317.0,H85EX
514,324.0,335.88,228.0,239.88,10550.0,H85EX
514,336.0,347.88,228.0,239.88,10784.0,H85EX
514,348.0,359.88,228.0,239.88,11017.0,H85EX
514,360.0,371.88,228.0,239.88,11250.0,H85EX
514,48.0,59.88,240.0,251.88,5371.0,H85EX
514,60.0,71.88,240.0,251.88,5609.0,H85EX
514,72.0,83.88,240.0,251.88,5847.0,H85EX
514,84.0,95.88,240.0,251.88,6085.0,H85EX
514,96.0,107.88,240.0,251.88,6322.0,H85EX
514,108.0,119.88,240.0,251.88,6560.0,H85EX
514,120.0,131.88,240.0,251.88,6798.0,H85EX
514,132.0,143.88,240.0,251.88,7036.0,H85EX
514,144.0,155.88,240.0,251.88,7208.0,H85EX
514,156.0,167.88,240.0,251.88,7446.0,H85EX
514,168.0,179.88,240.0,251.88,7684.0,H85EX
514,180.0,191.88,240.0,251.88,7922.0,H85EX
514,192.0,203.88,240.0,251.88,8160.0,H85EX
514,204.0,215.88,240.0,251.88,8398.0,H85EX
514,216.0,227.88,240.0,251.88,8636.0,H85EX
514,228.0,239.88,240.0,251.88,8874.0,H85EX
514,240.0,251.88,240.0,251.88,9112.0,H85EX
514,252.0,263.88,240.0,251.88,9350.0,H85EX
514,264.0,275.88,240.0,251.88,9587.0,H85EX
514,276.0,287.88,240.0,251.88,9825.0,H85EX
514,288.0,299.88,240.0,251.88,10063.0,H85EX
514,300.0,311.88,240.0,251.88,10301.0,H85EX
514,312.0,323.88,240.0,251.88,10539.0,H85EX
514,324.0,335.88,240.0,251.88,10777.0,H85EX
514,336.0,347.88,240.0,251.88,11015.0,H85EX
514,348.0,359.88,240.0,251.88,11253.0,H85EX
514,360.0,371.88,240.0,251.88,11491.0,H85EX
